target_icd,rank,prs_icd,auc
I83,4,I80,0.5240468507359454
I83,5,M17,0.5228744654044861
I83,6,I48,0.5196828407654537
I83,7,K42,0.5165525266014704
I83,8,I26,0.5154167542841326
I83,9,I50,0.5140380982033678
I83,10,N43,0.511681613936762
I87,1,E66,0.554830263278785
I87,2,I83,0.5490152256701617
I87,3,I87,0.5429072898783457
I87,4,M17,0.5328180064823062
I87,5,I71,0.5265851460274672
I87,6,E11,0.524991689986291
I87,7,I80,0.5244098870512612
I87,8,I50,0.5239597994689456
I87,9,I10,0.5229909025183832
I87,10,M16,0.5226356134258313
J33,1,J33,0.5972809932887104
J33,2,J45,0.5651622886375409
J33,3,J40,0.533364212550834
J33,4,E10,0.5266360434884321
J33,5,L97,0.5209455930811888
J33,6,E16,0.5189136457612641
J33,7,N41,0.5182065137806198
J33,8,I12,0.5171274445227135
J33,9,N81,0.5165900676970845
J33,10,D04,0.5164061082426101
J35,1,J35,0.5425327383723864
J35,2,N18,0.5321266785760804
J35,3,S72,0.5266858425509024
J35,4,D03,0.5254841104455923
J35,5,M19,0.52409772249859
J35,6,I69,0.5230093517132208
J35,7,F03,0.5211269398686265
J35,8,M81,0.5204517410549215
J35,9,G47,0.5203563547095098
J35,10,G58,0.5203315180112738
J40,1,E66,0.5297230640075112
J40,2,M51,0.5289299884810748
J40,3,M47,0.5273112729901924
J40,4,I10,0.5222678264630899
J40,5,M50,0.5221140751404855
J40,6,M19,0.5218365058647617
J40,7,I71,0.5216280804301505
J40,8,E11,0.5200400581153303
J40,9,G56,0.5197140490857826
J40,10,M17,0.5196372164299033
J42,1,J44,0.5608276387352606
J42,2,M51,0.5574732644885113
J42,3,E66,0.5565778173321185
J42,4,M47,0.5520311219914392
J42,5,F32,0.5454101694096902
J42,6,M17,0.5444838504777555
J42,7,F31,0.5443571614750526
J42,8,M50,0.5421754691912626
J42,9,F10,0.541585816126341
J42,10,M19,0.5396756938263799
J43,1,J44,0.5624064099341097
J43,2,F10,0.5554204651313334
J43,3,J43,0.5519387342582999
J43,4,F32,0.5496859690592905
J43,5,M51,0.5489096623222466
J43,6,F17,0.5461661890679194
J43,7,M47,0.5454474318254843
J43,8,I71,0.5450568874723536
J43,9,C34,0.5438325031258849
J43,10,I70,0.54263093078861
J44,1,F10,0.56207296700715
J44,2,E66,0.5594427770484511
J44,3,F32,0.5562014516797891
J44,4,J44,0.5539871489989278
J44,5,I71,0.5484873422793347
J44,6,M51,0.5483730922087605
J44,7,I70,0.5446825061008873
J44,8,M47,0.5441294227100658
J44,9,F33,0.5436547838155509
J44,10,I10,0.5434669282395584
J45,1,J45,0.560614501548963
J45,2,J33,0.5360229410292345
J45,3,E66,0.5337063923507118
J45,4,M19,0.5272887419083838
J45,5,M51,0.5267642293179797
J45,6,M47,0.5254552424995187
J45,7,M17,0.5240194759130986
J45,8,F32,0.5232964086177077
J45,9,J40,0.5232731190475851
