target_icd,rank,prs_icd,auc
E03,9,I10,0.520112948687167
E03,10,I48,0.5163729221510206
E04,1,E04,0.6311607290769836
E04,2,E05,0.5668372348339729
E04,3,E06,0.5438475193004435
E04,4,D25,0.5201588251517663
E04,5,N20,0.5174286629027096
E04,6,I83,0.5165811910839874
E04,7,K76,0.5161681213590803
E04,8,K35,0.5157678633198958
E04,9,D32,0.5149526101527881
E04,10,E66,0.514282059666658
E05,1,E05,0.5738350716624943
E05,2,E03,0.5365155617854954
E05,3,E04,0.536130712837263
E05,4,I48,0.5260757954011408
E05,5,I10,0.5220555648067039
E05,6,D51,0.5206698211432801
E05,7,M05,0.520408018931791
E05,8,I71,0.5199711805980233
E05,9,M51,0.5165081082957763
E05,10,M47,0.5159367172948975
E06,1,E03,0.5710498218510012
E06,2,M05,0.5504474662932904
E06,3,D51,0.5491548485478353
E06,4,E04,0.5444359321327853
E06,5,M17,0.5443336104981816
E06,6,E05,0.538191337748464
E06,7,N41,0.5353934685635707
E06,8,I20,0.5348967355512272
E06,9,K80,0.533369245481224
E06,10,K43,0.5327355346999944
E10,1,E11,0.5939807082818638
E10,2,E66,0.5502481157687571
E10,3,E10,0.5465377017638738
E10,4,I10,0.5372121511127423
E10,5,D51,0.5351749302557292
E10,6,I71,0.5343243895282435
E10,7,I70,0.5340589755117806
E10,8,E03,0.5324719731014871
E10,9,E16,0.5285733191158632
E10,10,L97,0.5279381509342506
E11,1,E11,0.6395743046925597
E11,2,E66,0.5688179918951336
E11,3,I10,0.558021197018951
E11,4,I71,0.5471687748894108
E11,5,I70,0.5441131797979425
E11,6,G56,0.534160249061072
E11,7,I25,0.5339034347989587
E11,8,I50,0.5338276992564833
E11,9,I21,0.5321544965835168
E11,10,I20,0.5320989117358197
E16,1,E11,0.5857836927691092
E16,2,E66,0.5479875027110072
E16,3,I71,0.5430470240401645
E16,4,I70,0.5404072831643705
E16,5,I10,0.5343769944852741
E16,6,E10,0.5278538588958052
E16,7,F60,0.5270565083348709
E16,8,I25,0.5267948876730676
E16,9,D51,0.5261746497158812
E16,10,F32,0.5261556771218104
E21,1,E21,0.5699370890028302
E21,2,I10,0.5259947575902879
E21,3,K43,0.5218498792530475
E21,4,I26,0.5217023014846289
E21,5,F60,0.5216738229433137
E21,6,M17,0.5205546901385855
E21,7,J35,0.5203033819873388
E21,8,E04,0.5184463539239167
E21,9,N43,0.5182057280815628
E21,10,E66,0.5177262645388995
E66,1,E66,0.5855367251227472
E66,2,M17,0.5537948418142725
E66,3,E11,0.5479346341022885
E66,4,I10,0.5448095216521607
E66,5,M19,0.5404788141554397
E66,6,G56,0.5373959571909391
E66,7,I50,0.5351840372014944
E66,8,M51,0.5341185799369987
E66,9,I71,0.5321935968054634
E66,10,M16,0.530456661197024
E78,1,E78,0.5773700473314198
E78,2,I25,0.557038272027016
E78,3,I20,0.5559932642141054
E78,4,I21,0.5508130847541681
E78,5,I10,0.5493123300338628
E78,6,I71,0.5426687080491343
E78,7,E11,0.5404366776856696
E78,8,E66,0.5327545769015647
E78,9,I70,0.532180831080457
E78,10,F03,0.5242516231483835
F03,1,F03,0.5741054446871064
F03,2,E78,0.5464460935526092
F03,3,I10,0.5442554432198792
F03,4,F10,0.5359445618856112
F03,5,F33,0.534739020711497
F03,6,O26,0.5334546918482257
F03,7,I21,0.5306402892113445
F03,8,M05,0.5299511551111207
F03,9,F32,0.529747807332787
F03,10,I48,0.5268126113756398
F10,1,F10,0.5618630885866256
F10,2,F32,0.5342475891830409
F10,3,F33,0.5296247860834606
F10,4,F41,0.5248296467901181
F10,5,S82,0.5229822335593886
F10,6,J44,0.5223243695694645
F10,7,F31,0.5218616818273684
F10,8,F60,0.5211060530499849
F10,9,S22,0.5199790463280871
F10,10,I50,0.5193822505362913
F17,1,F10,0.5443426142847756
F17,2,J44,0.5342858824424521
F17,3,F17,0.5341471881089086
F17,4,F32,0.5300977634498422
F17,5,M51,0.5297563539606208
F17,6,I71,0.529076223563706
F17,7,E66,0.5280702732020328
F17,8,I70,0.5271250281054766
F17,9,F33,0.5264225525739652
F17,10,M47,0.5249305151067565
F31,1,F32,0.5536093165017129
F31,2,F31,0.5515246622768754
F31,3,F33,0.5452010773688687
F31,4,F41,0.5399381118684828
F31,5,N40,0.5196306325996486
F31,6,F10,0.5183992239506521
F31,7,N41,0.5166801529887424
F31,8,J43,0.515072687351105
F31,9,N81,0.5136743604931581
F31,10,I48,0.5133736074635215
F32,1,F32,0.5521111239707753
F32,2,F33,0.5499831100511884
F32,3,F41,0.5389938179571419
F32,4,M51,0.5319810075400788
F32,5,F10,0.5298758280404259
F32,6,M47,0.5283618922085732
F32,7,F60,0.5260861297420798
F32,8,F31,0.5259918143032564
F32,9,M50,0.5242696941476385
F32,10,E66,0.5232018191749213
F33,1,F32,0.5577912207881873
F33,2,F33,0.5542507803207196
F33,3,F41,0.5507912539554269
F33,4,F31,0.5348689350429957
F33,5,F10,0.5337228810797868
F33,6,I50,0.5294577932632244
F33,7,F60,0.5243564928312828
F33,8,K60,0.5231063726091241
F33,9,M51,0.5196257621832572
F33,10,N41,0.5193368827968773
F41,1,F32,0.5457259333995006
F41,2,F41,0.5437146384497844
F41,3,F33,0.5434406526551059
F41,4,F10,0.5267816999142915
F41,5,M51,0.5244204920625158
F41,6,M47,0.5236714664385683
F41,7,F31,0.522259466137849
F41,8,F60,0.52208585344597
F41,9,G43,0.5210034164884274
F41,10,M50,0.5192686012442747
F60,1,F41,0.5763592860104647
F60,2,F32,0.5760147136345684
F60,3,F33,0.5756888742231904
F60,4,F60,0.5654851835344958
F60,5,F31,0.5576942017552277
F60,6,M47,0.5538182190988264
F60,7,G56,0.5352837349657594
F60,8,M51,0.5344796518257929
F60,9,S22,0.5327190048032792
F60,10,N81,0.5323505346438027
G25,1,G25,0.5461000754768692
G25,2,F33,0.5449387003086708
G25,3,M51,0.5411095661521212
G25,4,F32,0.5396568789081502
G25,5,G43,0.531215158495875
G25,6,F10,0.5280617301814651
G25,7,M50,0.527799106992487
G25,8,J35,0.5274180811676785
G25,9,G56,0.5257748670566254
G25,10,F41,0.5242987025760649
