prs_group,age_bin,n_group_total,n_case,prev_rate,icd
Top 10%,45-50,5512,31,0.005624092888243832,D35
Top 10%,50-55,6138,41,0.006679700228087325,D35
Top 10%,55-60,7360,44,0.005978260869565218,D35
Top 10%,60-65,9822,68,0.006923233557320301,D35
Top 10%,65-70,7813,52,0.0066555740432612314,D35
Top 10%,70-75,216,1,0.004629629629629629,D35
Bottom 10%,35-40,3,0,0,D36
Bottom 10%,40-45,3563,11,0.0030872859949480774,D36
Bottom 10%,45-50,4826,11,0.0022793203481143802,D36
Bottom 10%,50-55,5801,18,0.003102913290811929,D36
Bottom 10%,55-60,7632,25,0.0032756813417190774,D36
Bottom 10%,60-65,10534,30,0.0028479210176571104,D36
Bottom 10%,65-70,8675,15,0.001729106628242075,D36
Bottom 10%,70-75,180,0,0,D36
Middle 10%,40-45,3699,7,0.001892403352257367,D36
Middle 10%,45-50,4835,14,0.002895553257497415,D36
Middle 10%,50-55,5921,13,0.0021955750717784156,D36
Middle 10%,55-60,7470,19,0.0025435073627844713,D36
Middle 10%,60-65,10503,39,0.0037132247929163096,D36
Middle 10%,65-70,8566,30,0.0035022180714452487,D36
Middle 10%,70-75,219,0,0,D36
Top 10%,40-45,3679,16,0.004349007882576787,D36
Top 10%,45-50,5000,21,0.0042,D36
Top 10%,50-55,6082,14,0.0023018743834265043,D36
Top 10%,55-60,7415,29,0.003910991233985165,D36
Top 10%,60-65,10396,25,0.0024047710657945365,D36
Top 10%,65-70,8401,28,0.0033329365551720033,D36
Top 10%,70-75,241,0,0,D36
Bottom 10%,40-45,3412,4,0.0011723329425556857,D47
Bottom 10%,45-50,4634,11,0.002373759171342253,D47
Bottom 10%,50-55,5733,16,0.0027908599337170764,D47
Bottom 10%,55-60,7502,37,0.004932018128499067,D47
Bottom 10%,60-65,10863,72,0.006628003314001657,D47
Bottom 10%,65-70,8841,101,0.011424047053500735,D47
Bottom 10%,70-75,229,2,0.008733624454148471,D47
Middle 10%,40-45,3721,10,0.0026874496103198066,D47
Middle 10%,45-50,4795,16,0.0033368091762252345,D47
Middle 10%,50-55,5834,21,0.0035995886184436066,D47
Middle 10%,55-60,7503,44,0.00586432093829135,D47
Middle 10%,60-65,10477,77,0.007349432089338551,D47
Middle 10%,65-70,8649,84,0.009712105445716268,D47
Middle 10%,70-75,234,2,0.008547008547008548,D47
Top 10%,35-40,2,0,0,D47
Top 10%,40-45,4028,9,0.0022343594836146973,D47
Top 10%,45-50,5293,15,0.0028339316077838654,D47
Top 10%,50-55,6101,28,0.004589411571873463,D47
Top 10%,55-60,7259,45,0.006199200991872158,D47
Top 10%,60-65,10189,89,0.008734910197271567,D47
Top 10%,65-70,8137,105,0.012904018680103232,D47
Top 10%,70-75,205,2,0.00975609756097561,D47
Bottom 10%,35-40,1,0,0,D50
Bottom 10%,40-45,3325,104,0.03127819548872181,D50
Bottom 10%,45-50,4623,183,0.03958468526930565,D50
Bottom 10%,50-55,5723,202,0.035296173335663115,D50
Bottom 10%,55-60,7562,320,0.04231684739486908,D50
Bottom 10%,60-65,10801,510,0.047217850199055646,D50
Bottom 10%,65-70,8933,569,0.06369640658233516,D50
Bottom 10%,70-75,246,15,0.06097560975609756,D50
Middle 10%,40-45,3569,153,0.04286915102269543,D50
Middle 10%,45-50,4767,170,0.03566184182924271,D50
Middle 10%,50-55,5880,261,0.044387755102040814,D50
Middle 10%,55-60,7493,381,0.05084745762711865,D50
Middle 10%,60-65,10666,695,0.06516032252015751,D50
Middle 10%,65-70,8595,697,0.08109365910413031,D50
Middle 10%,70-75,243,21,0.08641975308641975,D50
Top 10%,35-40,1,0,0,D50
Top 10%,40-45,4487,225,0.050144862937374635,D50
Top 10%,45-50,5610,347,0.061853832442067734,D50
Top 10%,50-55,6333,405,0.06395073424917101,D50
Top 10%,55-60,7203,467,0.06483409690406775,D50
Top 10%,60-65,9615,749,0.07789911596463858,D50
Top 10%,65-70,7752,787,0.10152218782249742,D50
Top 10%,70-75,213,26,0.12206572769953052,D50
Bottom 10%,35-40,2,0,0,D51
Bottom 10%,40-45,3793,8,0.0021091484313208544,D51
Bottom 10%,45-50,5238,12,0.002290950744558992,D51
Bottom 10%,50-55,5987,9,0.0015032570569567397,D51
Bottom 10%,55-60,7271,20,0.0027506532801540367,D51
Bottom 10%,60-65,10349,27,0.002608947724417818,D51
Bottom 10%,65-70,8351,40,0.004789845527481739,D51
Bottom 10%,70-75,223,0,0,D51
Middle 10%,40-45,3655,14,0.0038303693570451436,D51
Middle 10%,45-50,4964,27,0.005439161966156326,D51
Middle 10%,50-55,5900,23,0.003898305084745763,D51
Middle 10%,55-60,7400,32,0.004324324324324324,D51
Middle 10%,60-65,10590,58,0.005476864966949953,D51
Middle 10%,65-70,8497,60,0.007061315758503001,D51
Middle 10%,70-75,207,4,0.01932367149758454,D51
Top 10%,40-45,3616,13,0.003595132743362832,D51
Top 10%,45-50,4876,23,0.0047169811320754715,D51
Top 10%,50-55,5994,33,0.0055055055055055055,D51
Top 10%,55-60,7505,59,0.007861425716189207,D51
Top 10%,60-65,10438,65,0.006227246598965319,D51
Top 10%,65-70,8582,102,0.011885341412258214,D51
Top 10%,70-75,203,2,0.009852216748768473,D51
Bottom 10%,40-45,3288,124,0.037712895377128956,D64
Bottom 10%,45-50,4724,221,0.04678238780694327,D64
Bottom 10%,50-55,5683,305,0.053668836881928556,D64
Bottom 10%,55-60,7642,441,0.05770740643810521,D64
Bottom 10%,60-65,10720,770,0.07182835820895522,D64
