prs_group,age_bin,n_group_total,n_case,prev_rate,icd
Middle 10%,55-60,7521,598,0.07951070336391437,D12
Middle 10%,60-65,10682,983,0.09202396554952257,D12
Middle 10%,65-70,8485,821,0.0967589864466706,D12
Middle 10%,70-75,230,25,0.10869565217391304,D12
Top 10%,40-45,3538,148,0.041831543244771056,D12
Top 10%,45-50,4889,388,0.07936183268562078,D12
Top 10%,50-55,5986,553,0.09238222519211493,D12
Top 10%,55-60,7403,907,0.1225178981493989,D12
Top 10%,60-65,10653,1485,0.13939735285834975,D12
Top 10%,65-70,8519,1222,0.14344406620495365,D12
Top 10%,70-75,226,28,0.12389380530973451,D12
Bottom 10%,40-45,3599,7,0.001944984717977216,D13
Bottom 10%,45-50,4876,10,0.002050861361771944,D13
Bottom 10%,50-55,5852,18,0.0030758714969241286,D13
Bottom 10%,55-60,7447,33,0.004431314623338257,D13
Bottom 10%,60-65,10619,68,0.0064036161597137205,D13
Bottom 10%,65-70,8600,65,0.007558139534883721,D13
Bottom 10%,70-75,221,1,0.004524886877828055,D13
Middle 10%,35-40,1,0,0,D13
Middle 10%,40-45,3646,6,0.0016456390565002743,D13
Middle 10%,45-50,4930,12,0.002434077079107505,D13
Middle 10%,50-55,5900,24,0.004067796610169492,D13
Middle 10%,55-60,7390,44,0.005953991880920162,D13
Middle 10%,60-65,10616,75,0.007064807837226827,D13
Middle 10%,65-70,8506,75,0.008817305431460146,D13
Middle 10%,70-75,225,1,0.0044444444444444444,D13
Top 10%,35-40,1,0,0,D13
Top 10%,40-45,3575,5,0.0013986013986013986,D13
Top 10%,45-50,4918,13,0.0026433509556730377,D13
Top 10%,50-55,5907,23,0.003893685457931268,D13
Top 10%,55-60,7383,41,0.005553298117296492,D13
Top 10%,60-65,10755,70,0.006508600650860065,D13
Top 10%,65-70,8456,74,0.008751182592242194,D13
Top 10%,70-75,219,1,0.0045662100456621,D13
Bottom 10%,35-40,1,0,0,D16
Bottom 10%,40-45,3784,5,0.001321353065539112,D16
Bottom 10%,45-50,5144,4,7.776049766718507e-4,D16
Bottom 10%,50-55,5943,17,0.0028605081608615176,D16
Bottom 10%,55-60,7340,9,0.001226158038147139,D16
Bottom 10%,60-65,10196,9,8.826990976853668e-4,D16
Bottom 10%,65-70,8591,14,0.0016296123850541265,D16
Bottom 10%,70-75,215,0,0,D16
Middle 10%,40-45,3719,5,0.0013444474321054048,D16
Middle 10%,45-50,4868,9,0.0018488085456039441,D16
Middle 10%,50-55,5886,5,8.494733265375467e-4,D16
Middle 10%,55-60,7471,6,8.031053406505153e-4,D16
Middle 10%,60-65,10570,12,0.0011352885525070956,D16
Middle 10%,65-70,8473,8,9.441756166646997e-4,D16
Middle 10%,70-75,228,1,0.0043859649122807015,D16
Top 10%,35-40,1,0,0,D16
Top 10%,40-45,3542,6,0.0016939582156973462,D16
Top 10%,45-50,4918,5,0.0010166734444896298,D16
Top 10%,50-55,5858,6,0.0010242403550699897,D16
Top 10%,55-60,7409,10,0.0013497098123903361,D16
Top 10%,60-65,10600,10,9.433962264150943e-4,D16
Top 10%,65-70,8650,10,0.0011560693641618498,D16
Top 10%,70-75,237,0,0,D16
Bottom 10%,40-45,3635,66,0.018156808803301238,D17
Bottom 10%,45-50,4928,112,0.022727272727272728,D17
Bottom 10%,50-55,5842,128,0.021910304690174597,D17
Bottom 10%,55-60,7348,165,0.02245508982035928,D17
Bottom 10%,60-65,10650,244,0.02291079812206573,D17
