target_icd,rank,prs_icd,auc,method
F60,8,E66,0.544205003624815,LDpred2
F60,9,F34,0.5439359317497973,LDpred2
F60,10,M79,0.5438631636613244,LDpred2
G25,1,G25,0.5567942648591047,LDpred2
G25,2,M79,0.5356292888637626,LDpred2
G25,3,M75,0.5307745913101747,LDpred2
G25,4,M51,0.5284761788131597,LDpred2
G25,5,G44,0.5282917503228819,LDpred2
G25,6,M47,0.5241789524183724,LDpred2
G25,7,M50,0.5234575313866278,LDpred2
G25,8,F33,0.5229951981447704,LDpred2
G25,9,F32,0.5228661248869023,LDpred2
G25,10,F39,0.52283932502268,LDpred2
G35,1,G35,0.5916682081742706,LDpred2
G35,2,H46,0.5281902144786275,LDpred2
G35,3,J44,0.5276204896019132,LDpred2
G35,4,J32,0.5276144621951814,LDpred2
G35,5,J34,0.5264456802484052,LDpred2
G35,6,I48,0.5248166601075808,lassosum2
G35,7,H20,0.5241079676945425,LDpred2
G35,8,N92,0.5234774360703892,C+T
G35,9,K50,0.5232973519591959,LDpred2
G35,10,O26,0.5222598554008965,lassosum2
G43,1,G43,0.5650502221710816,LDpred2
G43,2,M79,0.5307880247514276,LDpred2
G43,3,G44,0.5303473165111883,LDpred2
G43,4,M75,0.5280726569463039,LDpred2
G43,5,M51,0.5278970804873903,LDpred2
G43,6,F33,0.5264827497113269,LDpred2
G43,7,F32,0.5262044116375958,LDpred2
G43,8,F39,0.5251437431253656,LDpred2
G43,9,M50,0.5244776165217685,LDpred2
G43,10,K21,0.5243209499171902,LDpred2
G47,1,E66,0.5420609763402771,LDpred2
G47,2,M79,0.5300496054977105,LDpred2
G47,3,I10,0.5274781041052065,LDpred2
G47,4,E11,0.5272175401488448,LDpred2
G47,5,M51,0.5255861655341124,LDpred2
G47,6,M75,0.525120106918126,LDpred2
G47,7,M47,0.5246452784187965,LDpred2
G47,8,F33,0.5241320563619037,LDpred2
G47,9,F32,0.5240631989191742,LDpred2
G47,10,M17,0.5239918868454314,LDpred2
G56,1,G56,0.561053646420573,LDpred2
G56,2,M75,0.5346732418004345,LDpred2
