target_icd,rank,prs_icd,auc,method
F33,5,F34,0.5433697933514966,LDpred2
F33,6,F43,0.5361980377512251,LDpred2
F33,7,F31,0.5348689350429957,LDpred2
F33,8,F10,0.5337228810797868,LDpred2
F33,9,F29,0.5327424185877205,LDpred2
F33,10,F90,0.5315336227506438,LDpred2
F41,1,F39,0.5461470650298627,LDpred2
F41,2,F32,0.5457259333995006,LDpred2
F41,3,F41,0.5437146384497844,LDpred2
F41,4,F33,0.5434406526551059,LDpred2
F41,5,F43,0.5295350511809002,LDpred2
F41,6,G44,0.5294985269464698,LDpred2
F41,7,M79,0.5280740701510797,LDpred2
F41,8,F34,0.5279043420408744,LDpred2
F41,9,F10,0.5267816999142915,LDpred2
F41,10,K59,0.5254549205237748,LDpred2
F60,1,F39,0.581507042632867,LDpred2
F60,2,F41,0.5763592860104647,LDpred2
F60,3,F32,0.5760147136345684,LDpred2
F60,4,F33,0.5756888742231904,LDpred2
F60,5,F60,0.5654851835344958,LDpred2
F60,6,F34,0.5578866824839053,LDpred2
F60,7,F31,0.5576942017552277,LDpred2
F60,8,F43,0.5541733614134517,LDpred2
F60,9,M47,0.5538182190988264,LDpred2
F60,10,F90,0.552247988967037,LDpred2
G25,1,G25,0.5461000754768692,LDpred2
G25,2,F33,0.5449387003086708,LDpred2
G25,3,M51,0.5411095661521212,LDpred2
G25,4,M79,0.5402229671868891,LDpred2
G25,5,F39,0.5398873045289547,LDpred2
G25,6,F32,0.5396568789081502,LDpred2
G25,7,G43,0.531215158495875,LDpred2
G25,8,M75,0.5304122596163207,lassosum2
G25,9,G61,0.529158722887245,LDpred2
G25,10,F10,0.5280617301814651,LDpred2
G35,1,G35,0.5737768290298046,LDpred2
G35,2,H46,0.5298215892439251,LDpred2
G35,3,D47,0.525462133483002,LDpred2
G35,4,R41,0.5230260133244473,C+T
G35,5,E83,0.5230061965303824,LDpred2
G35,6,S92,0.5213975465394809,LDpred2
G35,7,D16,0.5193321240014397,lassosum2
G35,8,M35,0.5189809843048708,LDpred2
G35,9,O13,0.5189627837239771,C+T
G35,10,B02,0.518816102566664,LDpred2
G43,1,G43,0.5688227344838077,LDpred2
G43,2,G44,0.53721423779428,LDpred2
G43,3,M51,0.5325845644061544,LDpred2
G43,4,F32,0.5321208148756114,LDpred2
G43,5,F39,0.5310562356108014,LDpred2
G43,6,M79,0.5302250808798098,LDpred2
G43,7,F33,0.5299012408618585,LDpred2
G43,8,F41,0.5297131217897771,LDpred2
G43,9,G45,0.5295393907145153,LDpred2
G43,10,M50,0.5271323309032024,LDpred2
G47,1,E66,0.5595317833683906,LDpred2
G47,2,I10,0.542706972820129,LDpred2
G47,3,M79,0.5415464871948485,LDpred2
G47,4,E11,0.5375735581169886,LDpred2
G47,5,M17,0.535664140056938,LDpred2
G47,6,F33,0.531446290984189,LDpred2
G47,7,G44,0.5301266985259303,LDpred2
G47,8,I71,0.5298957288523695,LDpred2
G47,9,M19,0.5298374934607926,LDpred2
G47,10,M75,0.5296359876991225,LDpred2
G56,1,G56,0.5875867926188594,LDpred2
G56,2,M19,0.5429871854915401,LDpred2
G56,3,M17,0.5412994764777117,LDpred2
G56,4,M75,0.5380722949509256,LDpred2
G56,5,E66,0.5347393641142684,LDpred2
G56,6,M79,0.533609774326055,LDpred2
G56,7,M47,0.5333102089268482,LDpred2
G56,8,M23,0.5296382995350178,LDpred2
G56,9,M77,0.5290412816671116,LDpred2
G56,10,M51,0.5286582866309635,LDpred2
G58,1,M47,0.5534173354220616,LDpred2
G58,2,M79,0.5511017067554088,LDpred2
G58,3,M51,0.5501097184556798,LDpred2
G58,4,F32,0.5460770513020083,LDpred2
G58,5,F39,0.5458853673398915,LDpred2
G58,6,M75,0.5437920345765057,LDpred2
G58,7,M40,0.5427424513077104,LDpred2
G58,8,K21,0.542618142444297,LDpred2
G58,9,K63,0.5425574358134517,LDpred2
G58,10,M15,0.5410454740224939,LDpred2
H33,1,H33,0.567860522469713,LDpred2
H33,2,H26,0.528979633895378,LDpred2
H33,3,H43,0.5208709663886727,LDpred2
H33,4,H52,0.5194007037145014,LDpred2
H33,5,H25,0.5189533380721328,LDpred2
H33,6,F90,0.5133390410109219,lassosum2
H33,7,L73,0.5118907386049958,lassosum2
H33,8,K44,0.5115220475619257,lassosum2
H33,9,O34,0.5107851326548417,C+T
H33,10,K86,0.5103359321581106,lassosum2
H40,1,H40,0.6090603271746915,LDpred2
H40,2,I46,0.5214258111363361,lassosum2
H40,3,I72,0.5207306978748065,lassosum2
H40,4,I60,0.5206445657940435,lassosum2
H40,5,I70,0.5176732776228247,lassosum2
H40,6,H25,0.5176022820961396,LDpred2
H40,7,I71,0.5143324776899364,LDpred2
H40,8,E11,0.5142391192989908,C+T
H40,9,I67,0.5130103632262367,LDpred2
H40,10,H26,0.5125981616777908,LDpred2
I10,1,I10,0.6036411484440909,LDpred2
