icd,case_num,autogluon,tabpfn,glm,superlearner,unsemble,single,description
M75,15509,0.5589136356904202,0.5599719141483501,0.562337753893469,0.562290671545766,0.5383510836546299,0.5587292115016548,Shoulder lesions
I89,3464,0.5313424456098846,0.5200875222807494,0.5364109156974426,0.5360320339488872,0.515931088009391,0.5328082677148401,Oth noninfective disorders of lymphatic vessels and nodes
O03,1017,0.4969589226278481,0.4944124384896721,0.5418454791386977,0.5421384383662027,0.4863861939267046,0.553424908638877,Spontaneous abortion
J44,11280,0.5779655789672081,0.5917947711738064,0.58116181290595,0.581167572672172,0.4796038196683498,0.5549393242397109,Other chronic obstructive pulmonary disease
A49,2628,0.5206878918947477,0.5148288295976416,0.5229689800718864,0.5237880811915212,0.5173621763700733,0.5303818605182516,Bacterial infection of unspecified site
G45,4455,0.5354047934548667,0.5386938978653045,0.5353521804057897,0.5352353634862855,0.5155334989387547,0.5300627177773629,Transient cerebral ischemic attacks and related syndromes
L40,5275,0.5971966443384471,0.612371524455821,0.6069095060764127,0.6070830735534888,0.5241873423632871,0.6042505971096781,Psoriasis
L50,4541,0.522379118850061,0.5351750719006215,0.5374104256958306,0.537084691621877,0.5004983701151209,0.534407503095449,Urticaria
M84,2565,0.5354120718749735,0.5411282703941284,0.534934450240822,0.534861424141409,0.5118599827885886,0.5409599033903314,Disorder of continuity of bone
G47,47420,0.5690821991037881,0.578729840640966,0.5705144929354808,0.5703455385189609,0.5203295897435858,0.5595317833683906,Sleep disorders
D04,2560,0.5620846885673048,0.5618855732180865,0.5555435400493492,0.5598572298995321,0.5193358587587268,0.553114622200879,Carcinoma in situ of skin
I63,4984,0.5537170971337134,0.560044568242235,0.5600587593773523,0.5602730615446923,0.535809394554007,0.546889008204062,Cerebral infarction
I26,3910,0.6037592439614178,0.6125883038895423,0.6098932677174329,0.6099978399271676,0.5949228436045066,0.6026174955874999,Pulmonary embolism
K61,630,0.5224286152315933,0.5287172926686617,0.5292438374646662,0.5288715205292164,0.4934371017427782,0.5407826150396051,Abscess of anal and rectal regions
J43,4776,0.5750906186768433,0.5770881133059458,0.5867662760981777,0.58733429448786,0.4780894315736372,0.5590367496607991,Emphysema
E66,39483,0.5933971708672753,0.5934999057629419,0.5935186471600271,0.5937562570541188,0.5243273702716422,0.5855367251227472,Overweight and obesity
A08,1867,0.5210496318808713,0.527403172775366,0.5413683162793272,0.5413683162793272,0.4713990412881459,0.5360294956518126,Viral and other specified intestinal infections
M94,6463,0.5319047323927658,0.5433681287843387,0.5462343687929351,0.5498681883094549,0.5120710595332923,0.5520368548175086,Other disorders of cartilage
L02,8935,0.5321148933035443,0.5362060851556142,0.5340593300936912,0.5341283203815625,0.5184869099955549,0.5278318402808942,"Cutaneous abscess, furuncle and carbuncle"
S32,2756,0.5504291467065059,0.5471507651444655,0.5508089324798946,0.5508089324798946,0.4820895987885842,0.541188063194081,Fracture of lumbar spine and pelvis
D09,870,0.5100596100278972,0.5194590333351101,0.5175015011103687,0.5211586808514379,0.5050654907936826,0.5812571234232673,Carcinoma in situ of other and unspecified sites
D23,12600,0.5201905367538914,0.5032201147028338,0.5260410257809687,0.5260410257809687,0.5013202868163681,0.5222281986385079,Other benign neoplasms of skin
