icd,case_num,autogluon,tabpfn,glm,superlearner,unsemble,single,description
G56,11902,0.5867354392811227,0.5860326802095764,0.5896027181108731,0.5902206657442298,0.5399476009073572,0.5875867926188594,Mononeuropathies of upper limb
I69,2216,0.5543890973869886,0.5543352939035845,0.5597484250438418,0.5562565316771948,0.5514747636893508,0.5544273893119439,Sequelae of cerebrovascular disease
E21,3217,0.5572660724726057,0.5768665360247982,0.5717856550405215,0.5725261969664104,0.5490483714934966,0.5699370890028302,Hyperparathyroidism and other disorders of parathyroid gland
F41,47216,0.5510349523638302,0.5416092945802063,0.5530528948590966,0.5531288517415204,0.5405653652295561,0.5461470650298627,Other anxiety disorders
E05,3107,0.5697257817761001,0.5795552098765878,0.5767970554824323,0.5768567950169531,0.5382946763781467,0.5738350716624943,Thyrotoxicosis [hyperthyroidism]
K42,3774,0.5895480914030451,0.5986905108623168,0.5947931666611921,0.5949040080038672,0.5369359826245401,0.5852368107076181,Umbilical hernia
M16,11771,0.583908389335136,0.5875893322363623,0.5876055249363799,0.5881897940541662,0.5598470396583904,0.5883252056635018,Osteoarthritis of hip
J40,9268,0.5496749271853125,0.5392682397461632,0.5553859105368922,0.554475303100794,0.463553180710888,0.5459614678582307,"Bronchitis, not specified as acute or chronic"
H40,10650,0.6044373206314367,0.6049669705943975,0.6076636458175246,0.6079895549736108,0.5836436746627075,0.6090603271746915,Glaucoma
M86,2186,0.5538441476576984,0.5501544816054993,0.5571269545301686,0.5565342438453178,0.4742171548392158,0.5449683366565736,Osteomyelitis
G43,20214,0.5709163505273365,0.5659534588475108,0.5737496834601324,0.5738802748625685,0.5034673072790179,0.5688227344838077,Migraine
G25,10553,0.5570186985294626,0.5474658896897407,0.5623963740501667,0.5609774246506383,0.4971535336699609,0.5461000754768692,Other extrapyramidal and movement disorders
N20,11111,0.5966856644936608,0.6008034010500546,0.6006051713035068,0.6004331783943351,0.5532024106657067,0.5939542628303249,Calculus of kidney and ureter
I25,23969,0.5994076533004706,0.5880783939589256,0.6012012889210728,0.6012588123508301,0.5833635134422556,0.5931187634821443,Chronic ischemic heart disease
C44,10887,0.592443647928358,0.5930215822186767,0.593359540598089,0.5935270616040887,0.5121492127600841,0.5957747631836362,Other and unspecified malignant neoplasm of skin
F03,1445,0.5630400419240353,0.6095845478676754,0.5783321672343773,0.5773531125233826,0.519138357299716,0.5864533803001089,Unspecified dementia
N43,1283,0.5272314186007159,0.5449959237427054,0.53621095668584,0.5344235134270212,0.5506836451271798,0.5512124890918554,Hydrocele and spermatocele
S72,1897,0.5431658609886255,0.5668730041001054,0.557053603856735,0.5572705034452288,0.4607444546865469,0.5506784595969133,Fracture of femur
K51,2496,0.5882324582884293,0.5834882667913515,0.5978137174052665,0.5996249727094544,0.5815967609045545,0.5990007134183019,Ulcerative colitis
F10,8172,0.5611871322542679,0.5532073066430412,0.5634625619843088,0.5637727436348743,0.4854974551975955,0.5618630885866256,Alcohol related disorders
M32,1426,0.566928650457483,0.5692497398628407,0.5832629908535617,0.5856754945329324,0.5366166430125163,0.5688473819792035,Systemic lupus erythematosus (SLE)
M06,4888,0.5498164105749372,0.5349375039662307,0.5568853657549856,0.5565861075119654,0.5232307281162452,0.5416065454271906,Other rheumatoid arthritis
