icd,case_num,autogluon,tabpfn,glm,superlearner,unsemble,single,description
E83,13235,0.541903047011484,0.5556131329781622,0.5465006552592526,0.5466612044963989,0.4995545391132724,0.533383654056467,Disorders of mineral metabolism
E86,10526,0.5526068892283948,0.5617890027783663,0.5651590694769257,0.5644974748025976,0.5095438209965685,0.5425364299730743,Volume depletion
E87,25316,0.5597484104123951,0.5451628475691829,0.565897648767151,0.5658822947673475,0.5258988459825584,0.543294943308951,"Other disorders of fluid, electrolyte and acid-base balance"
F02,862,0.589330151621821,0.5247329196238206,0.5793787530895961,0.6391833180226366,0.475496446480697,0.5988844700961758,Dementia in other diseases classified elsewhere
F03,1445,0.6123611069660883,0.6060736435087248,0.6379447233666559,0.637319267924786,0.5388233718926779,0.6102709141096934,Unspecified dementia
F05,924,0.5840127466564381,0.5938799338733286,0.5957034465567888,0.5936230810646237,0.4697826433289526,0.5618947208874976,Delirium due to known physiological condition
F06,1649,0.5373949632111387,0.5363007367522719,0.5435864630197904,0.5374436901424895,0.5135641901621679,0.5344362185523578,Other mental disorders due to known physiological condition
F10,8172,0.5829995003131643,0.5909003853248858,0.5862372982846215,0.5860315643602264,0.4780197123616616,0.5771338977954521,Alcohol related disorders
F17,17809,0.61028061558853,0.6206133253160341,0.6087666943452749,0.60864960940091,0.4603993132796601,0.5731189165581316,Nicotine dependence
F20,975,0.5938263381311005,0.613957626651628,0.6064067065150635,0.6064067065150635,0.5781551476482265,0.600536115079356,Schizophrenia
F22,624,0.5992464890408743,0.611674302356585,0.6143874012145927,0.6159148498788826,0.5718212142117293,0.5851292812503209,Delusional disorders
F31,6594,0.6078872938079258,0.6087480058300897,0.6014119480357537,0.6012716112283674,0.5771914640029076,0.5912752893118405,Bipolar disorder
F32,38883,0.5617659037424466,0.5533012128965032,0.5622147336676184,0.5621196299680257,0.5389443190811675,0.5489649107158715,Depressive episode
F33,17711,0.5519519754048555,0.538222158415618,0.5560677641160893,0.5559688760779117,0.5485335628187504,0.547989880513956,"Major depressive disorder, recurrent"
F40,2699,0.549171691377342,0.5589283264726489,0.5494396153452491,0.548921534654889,0.525612940939781,0.5399668245293344,Phobic anxiety disorders
F41,47216,0.5581654834938178,0.5527561088585321,0.5592021130372244,0.5593845268118667,0.5396274932228494,0.5485829969163687,Other anxiety disorders
F43,20006,0.5446358148911709,0.5388613579452889,0.5453058753195994,0.5452638184339529,0.5296371815733287,0.5366740393650412,"Reaction to severe stress, and adjustment disorders"
F45,2643,0.5433455688299752,0.5507323721991276,0.5487966590506849,0.5488006866159006,0.5252233064629672,0.5356217154834002,Somatoform disorders
F60,2191,0.5920607427748894,0.5911536543025299,0.5679175594282613,0.5697406456491726,0.5514459908217401,0.5747004549601998,Specific personality disorders
G20,1355,0.534649732207955,0.5623409313811504,0.5708581571177404,0.5721112769960882,0.5281916192751203,0.5349372842787176,Parkinson's disease
G24,1556,0.5467675082985471,0.5571642439450455,0.5501473694717666,0.5509670887824702,0.4795803643023881,0.5271488756296552,Dystonia
G25,10553,0.5658297157120785,0.5545351576897866,0.5720920791975851,0.5713609946820817,0.512520541705186,0.5567942648591047,Other extrapyramidal and movement disorders
G30,603,0.766808601982213,0.7069660701474745,0.7378182978628606,0.7491084492536341,0.4849975064278137,0.6580536569964989,Alzheimer's disease
G35,1764,0.5899458050290505,0.5933490743996304,0.5939191223990471,0.5939191223990471,0.5747679262778054,0.5916682081742706,Multiple sclerosis
G40,4263,0.559496541083763,0.5613857139768073,0.5622338672830406,0.5622338672830406,0.535053928323788,0.5401496908398542,Epilepsy and recurrent seizures
G43,20214,0.5685188620306005,0.5673660461751909,0.5676874078238521,0.5676591142237197,0.506098240769731,0.5650502221710816,Migraine
G44,8965,0.5389987127753226,0.5370535293492726,0.5475781337187351,0.5469625916479117,0.4916721686109827,0.5344763792838133,Other headache syndromes
G45,4455,0.543718243921906,0.5451296728356945,0.5644072800035803,0.5646143631946179,0.5012871224146891,0.5441274702146093,Transient cerebral ischemic attacks and related syndromes
G47,47420,0.5501732489881084,0.5522704879829105,0.5523523971620321,0.5524100111527196,0.5138691827520235,0.5420609763402771,Sleep disorders
G50,1474,0.5540993141187857,0.5530942405912374,0.5495347424107592,0.5515042051326309,0.5134474107125603,0.5338650636586028,Disorders of trigeminal nerve
G51,1474,0.543218628439814,0.527957168258061,0.5525512323797264,0.552184659971628,0.5121541319617551,0.5277969752789406,Facial nerve disorders
G54,1533,0.533590698746814,0.5275501338838323,0.546355214757187,0.5453903224881748,0.5229464355069467,0.5366848228584347,Nerve root and plexus disorders
G56,11902,0.5632968069070886,0.575155163426723,0.5712847497431135,0.5712134103686037,0.5191101982844086,0.561053646420573,Mononeuropathies of upper limb
G57,5888,0.5396408933845427,0.5356880981424275,0.5449707854893742,0.5435294284976154,0.4876546810414979,0.5311252529535379,Mononeuropathies of lower limb
G58,1229,0.5350798197181919,0.5439680671634443,0.5519952783403634,0.5485623957929963,0.4873783928236662,0.5352412676322196,Other mononeuropathies
G61,560,0.5676467305595836,0.5599776315405256,0.5623560603859724,0.5594812293368108,0.48755411283936,0.5464493136401307,Inflammatory polyneuropathy
G81,1261,0.5478870649917311,0.5620994704119037,0.5959639815273285,0.5956824480834018,0.4760288919548489,0.5486942748015835,Hemiplegia and hemiparesis
G93,8257,0.5423376467148664,0.5374961082099167,0.5424280528276024,0.5425309886962864,0.4900540139280103,0.5337697922634723,Other disorders of brain
G95,2676,0.5564121523545744,0.5629745288376423,0.5720147730879395,0.5720147730879395,0.5369505000508018,0.5609263709153701,Other and unspecified diseases of spinal cord
H00,3891,0.5258540435450808,0.5175639292196135,0.5267770375207242,0.5267770375207242,0.4861953442793679,0.5221144252833496,Hordeolum and chalazion
H01,6118,0.5282162627562274,0.5228373578852142,0.5214411524039283,0.521057859491869,0.4951977989300665,0.5162570081842359,Other inflammation of eyelid
H02,10967,0.5157337910028555,0.5177249866424303,0.5217703506532223,0.5224637579504816,0.4922234756886204,0.5159747950110397,Other disorders of eyelid
H04,14291,0.5165534290249151,0.5079153913425809,0.5283391437016304,0.5298016768069786,0.5038870673030343,0.5118753624192757,Disorders of lacrimal system
H05,748,0.560645779821847,0.5767559255879879,0.5595995890542559,0.557938655752109,0.4901573748098435,0.5456955365555619,Disorders of orbit
H10,9973,0.5173338151855571,0.5057979012862736,0.5326166076539329,0.5310264901307594,0.5013184273598523,0.5234633450459688,Conjunctivitis
H11,3303,0.5115682502133719,0.5322896944655866,0.5347055836057171,0.535728058020572,0.4890775289802586,0.5185599637569303,Other disorders of conjunctiva
H16,2744,0.5228929715665721,0.5341605743544107,0.5237346834519752,0.5246013466597622,0.5050311055552646,0.5205330634146331,Keratitis
H18,3364,0.5335977267225203,0.5467864032487598,0.5271055149101447,0.5283932886606287,0.5137340978214096,0.5382641379293004,Other disorders of cornea
H20,951,0.5751458372834303,0.5880834766250751,0.5749722684680383,0.5773452091865893,0.4859105924486622,0.5335683974341837,Iridocyclitis
H25,21515,0.515689620154428,0.5146482916175268,0.5133128669171768,0.5145625588894175,0.5000317863113296,0.5091067539625052,Age-related cataract
H26,11473,0.5178770780915062,0.5044515148534328,0.52329364402472,0.5227798257742053,0.513964027423885,0.521625138444474,Other cataract
H33,2461,0.5509923291378904,0.553593740041622,0.5540050246362264,0.5533396639986995,0.5292766525665856,0.5539155908680323,Retinal detachments and breaks
H34,867,0.5256229138071208,0.5187693565331981,0.538141804827245,0.5364306127847112,0.4893571922454425,0.5538711442039441,Retinal vascular occlusions
H35,12037,0.5327035036985758,0.5385215634798672,0.533898885859642,0.5350896262498628,0.5186534507525019,0.5269182195469948,Other retinal disorders
H40,10650,0.572508223149735,0.5763106261853497,0.5735450815251847,0.5740571299167415,0.5532136161801808,0.5778039599405932,Glaucoma
H43,12615,0.5244944823808982,0.5137078612202833,0.5256131758688953,0.5259132235708126,0.4958574070172513,0.5158534291840611,Disorders of vitreous body
H47,3496,0.5179305318032141,0.5141625483600476,0.5188603489355458,0.5236127128288541,0.4816250551391703,0.5138515810406231,Other disorders of optic [2nd] nerve and visual pathways
H49,623,0.5843462017683292,0.5445303590117971,0.5401799346278077,0.5402565731161212,0.5278062046444696,0.5391536948004955,Paralytic strabismus
H50,2267,0.5135718303622849,0.5257057030765432,0.53248141325416,0.5313867457193071,0.5044742240620241,0.5230882506692192,Other strabismus
H52,23982,0.5092761310206815,0.5200816922408391,0.5101647189599617,0.508469449909291,0.5035052868998858,0.5069133651228315,Disorders of refraction and accommodation
H53,15886,0.5157603631378149,0.5013614234578337,0.5221308472732413,0.5215183617298379,0.5153906476600918,0.5183187792788695,Visual disturbances
H54,3620,0.5170935924555174,0.5270607084795375,0.5271481328559819,0.5226695375436249,0.4991876178362805,0.5219442012575451,Blindness and low vision
H57,7204,0.5172865188539728,0.5274523204049957,0.527906450607761,0.528146956466205,0.5071656587771137,0.5182074422339015,Other disorders of eye and adnexa
H60,5663,0.5224087047066935,0.5244257783773585,0.5365231194743897,0.5365231194743897,0.5043984415032396,0.5220132542224247,Otitis externa
H61,14655,0.5146518681329801,0.502918657859665,0.5189109228790862,0.5201677104379688,0.4937961069570176,0.5128423785569033,Other disorders of external ear
H65,4844,0.5232397311754061,0.528881361171078,0.5373721359662582,0.5379299373823807,0.4934374196619229,0.5188546633068729,Nonsuppurative otitis media
H66,6337,0.5291642104980379,0.5264778191479048,0.5406404911296883,0.5403076410280006,0.4900278667401239,0.5240766985760978,Suppurative and unspecified otitis media
H72,936,0.5656530183957352,0.5901222334446148,0.5603563118793186,0.5603531396997382,0.5057396910960094,0.5466672680732854,Perforation of tympanic membrane
H81,7602,0.5147927303086811,0.5153845795981579,0.52091603885322,0.5260764955961806,0.4960928080745137,0.5208750324166418,Disorders of vestibular function
H83,1227,0.5523878774994653,0.5489140635624187,0.5517148758460383,0.5500933101791539,0.5045343974111253,0.5306607557601226,Other diseases of inner ear
H90,19915,0.5281725496421051,0.5114668888256566,0.5347977483693728,0.5353097638565874,0.5202588299937145,0.5340036766943268,Conductive and sensorineural hearing loss
H91,15666,0.5279543296543733,0.5212824224186491,0.5353759891470595,0.53454210366948,0.5226478341285565,0.531927374285804,Other and unspecified hearing loss
H92,8915,0.5240461905937185,0.5180491024643364,0.5287569057723182,0.5273269063981797,0.4953538501665075,0.526496652881348,Otalgia and effusion of ear
H93,15939,0.5153633678799692,0.5142900788728592,0.5267021337880231,0.5263320665988567,0.5005756311964924,0.5182041240947798,"Other disorders of ear, not elsewhere classified"
I10,67148,0.6153128452544288,0.6144968330434799,0.6133711411146375,0.613352015720626,0.5613531857463807,0.6074588198893428,Essential (primary) hypertension
I12,8001,0.5772308245989655,0.5792170685891325,0.5738826218882462,0.5739599913243181,0.4984592314207648,0.5649078535658009,Hypertensive chronic kidney disease
I20,6214,0.5619645324650815,0.5643765798097488,0.5728440602361782,0.570741372085277,0.5317545824563633,0.5602159589684527,Angina pectoris
I21,4678,0.5761596483663957,0.5822755885448538,0.5915015111099078,0.5901914939938098,0.5438460009173545,0.5780708834710532,Acute myocardial infarction
I25,23969,0.5830820483825538,0.5927755319625959,0.5883393266924921,0.5885064485629586,0.571940018671129,0.58252114673203,Chronic ischemic heart disease
I26,3910,0.606054609698767,0.6160741964445661,0.6105288517770717,0.61110773351876,0.5876485216838716,0.596768340355688,Pulmonary embolism
